type,value,comment
ip,213.252.244.62,Cobalt Strike C2 server linked to Ryuk activity
ip,213.252.245.71,Cobalt Strike C2 server linked to Ryuk activity
ip,213.252.246.144,Cobalt Strike C2 server linked to Ryuk activity
ip,213.252.246.154,Cobalt Strike C2 server linked to Ryuk activity
ip,213.252.246.185,Cobalt Strike C2 server linked to Ryuk activity
ip,216.155.157.249,Cobalt Strike C2 server linked to Ryuk activity
ip,217.69.15.175,Cobalt Strike C2 server linked to Ryuk activity
ip,31.7.59.141,Cobalt Strike C2 server linked to Ryuk activity
ip,45.138.172.51,Cobalt Strike C2 server linked to Ryuk activity
ip,45.138.172.95,Cobalt Strike C2 server linked to Ryuk activity
ip,45.141.86.136,Cobalt Strike C2 server linked to Ryuk activity
ip,45.141.86.146,Cobalt Strike C2 server linked to Ryuk activity
ip,45.141.86.155,Cobalt Strike C2 server linked to Ryuk activity
ip,45.141.86.194,Cobalt Strike C2 server linked to Ryuk activity
ip,45.141.86.206,Cobalt Strike C2 server linked to Ryuk activity
ip,45.141.86.207,Cobalt Strike C2 server linked to Ryuk activity
ip,45.141.86.84,Cobalt Strike C2 server linked to Ryuk activity
ip,45.141.86.90,Cobalt Strike C2 server linked to Ryuk activity
ip,45.141.86.91,Cobalt Strike C2 server linked to Ryuk activity
ip,45.141.86.92,Cobalt Strike C2 server linked to Ryuk activity
ip,45.141.86.93,Cobalt Strike C2 server linked to Ryuk activity
ip,45.141.86.94,Cobalt Strike C2 server linked to Ryuk activity
ip,45.141.86.95,Cobalt Strike C2 server linked to Ryuk activity
ip,45.141.86.96,Cobalt Strike C2 server linked to Ryuk activity
ip,45.141.86.97,Cobalt Strike C2 server linked to Ryuk activity
ip,45.141.86.98,Cobalt Strike C2 server linked to Ryuk activity
ip,45.147.228.77,Cobalt Strike C2 server linked to Ryuk activity
ip,45.147.229.128,Cobalt Strike C2 server linked to Ryuk activity
ip,45.147.229.180,Cobalt Strike C2 server linked to Ryuk activity
ip,45.147.229.180,Cobalt Strike C2 server linked to Ryuk activity
ip,45.147.229.44,Cobalt Strike C2 server linked to Ryuk activity
ip,45.147.229.52,Cobalt Strike C2 server linked to Ryuk activity
ip,45.147.229.52,Cobalt Strike C2 server linked to Ryuk activity
ip,45.147.229.68,Cobalt Strike C2 server linked to Ryuk activity
ip,45.147.229.92,Cobalt Strike C2 server linked to Ryuk activity
ip,45.147.229.92,Cobalt Strike C2 server linked to Ryuk activity
ip,45.147.230.131,Cobalt Strike C2 server linked to Ryuk activity
ip,45.147.230.132,Cobalt Strike C2 server linked to Ryuk activity
ip,45.147.230.132,Cobalt Strike C2 server linked to Ryuk activity
ip,45.147.230.133,Cobalt Strike C2 server linked to Ryuk activity
ip,45.147.230.140,Cobalt Strike C2 server linked to Ryuk activity
